,"('F', 'F')","('F', 'A')","('F', 'H')","('F', 'C')","('F', 'J')","('F', 'D')","('F', 'G')","('F', 'I')","('F', 'E')","('F', 'B')","('A', 'F')","('A', 'A')","('A', 'H')","('A', 'C')","('A', 'J')","('A', 'D')","('A', 'G')","('A', 'I')","('A', 'E')","('A', 'B')","('H', 'F')","('H', 'A')","('H', 'H')","('H', 'C')","('H', 'J')","('H', 'D')","('H', 'G')","('H', 'I')","('H', 'E')","('H', 'B')","('C', 'F')","('C', 'A')","('C', 'H')","('C', 'C')","('C', 'J')","('C', 'D')","('C', 'G')","('C', 'I')","('C', 'E')","('C', 'B')","('J', 'F')","('J', 'A')","('J', 'H')","('J', 'C')","('J', 'J')","('J', 'D')","('J', 'G')","('J', 'I')","('J', 'E')","('J', 'B')","('D', 'F')","('D', 'A')","('D', 'H')","('D', 'C')","('D', 'J')","('D', 'D')","('D', 'G')","('D', 'I')","('D', 'E')","('D', 'B')","('G', 'F')","('G', 'A')","('G', 'H')","('G', 'C')","('G', 'J')","('G', 'D')","('G', 'G')","('G', 'I')","('G', 'E')","('G', 'B')","('I', 'F')","('I', 'A')","('I', 'H')","('I', 'C')","('I', 'J')","('I', 'D')","('I', 'G')","('I', 'I')","('I', 'E')","('I', 'B')","('E', 'F')","('E', 'A')","('E', 'H')","('E', 'C')","('E', 'J')","('E', 'D')","('E', 'G')","('E', 'I')","('E', 'E')","('E', 'B')","('B', 'F')","('B', 'A')","('B', 'H')","('B', 'C')","('B', 'J')","('B', 'D')","('B', 'G')","('B', 'I')","('B', 'E')","('B', 'B')"
34,,,,11.037260313668911,,,,,,13.094304566778266,,,5.297972194380703,12.415504997598328,5.265359696838637,,10.904925124490397,,,11.394267984578835,,5.297972194380703,,,9.011647870223289,,11.881619584333132,,8.701809671168826,,11.037260313668911,12.415504997598328,,,,,,,,,,5.265359696838637,9.011647870223289,,,,12.759999115462449,,,,,,,,,,,14.852215206607578,,10.449414806032166,,10.904925124490397,11.881619584333132,,12.759999115462449,,,,13.341104266407502,12.588073671297673,,,,,,14.852215206607578,,,,7.7787134167164185,,,8.701809671168826,,,,13.341104266407502,,,,13.094304566778266,11.394267984578835,,,,10.449414806032166,12.588073671297673,7.7787134167164185,,
35,,13.921795677048454,,11.037260313668911,,,,,,13.094304566778266,13.921795677048454,,5.297972194380703,12.415504997598328,5.265359696838637,,10.904925124490397,,,11.394267984578835,,5.297972194380703,,,9.011647870223289,,11.881619584333132,,,,11.037260313668911,12.415504997598328,,,,,,,,,,5.265359696838637,9.011647870223289,,,,12.759999115462449,,,,,,,,,,,14.852215206607578,,10.449414806032166,,10.904925124490397,11.881619584333132,,12.759999115462449,,,,13.341104266407502,12.588073671297673,,,,,,14.852215206607578,,,,7.7787134167164185,,,,,,,13.341104266407502,,,,13.094304566778266,11.394267984578835,,,,10.449414806032166,12.588073671297673,7.7787134167164185,,
36,,13.921795677048454,,11.037260313668911,,,,,,13.094304566778266,13.921795677048454,,5.297972194380703,12.415504997598328,5.265359696838637,,10.904925124490397,,,11.394267984578835,,5.297972194380703,,,9.011647870223289,,11.881619584333132,,8.701809671168826,,11.037260313668911,12.415504997598328,,,,,,,,,,5.265359696838637,9.011647870223289,,,,12.759999115462449,,,,,,,,,,,14.852215206607578,,10.449414806032166,,10.904925124490397,11.881619584333132,,12.759999115462449,,,,13.341104266407502,12.588073671297673,,,,,,14.852215206607578,,,,7.7787134167164185,,,8.701809671168826,,,,13.341104266407502,,,9.492090462838537,13.094304566778266,11.394267984578835,,,,10.449414806032166,12.588073671297673,7.7787134167164185,,
37,,13.921795677048454,,11.037260313668911,,,,,,13.094304566778266,13.921795677048454,,5.297972194380703,12.415504997598328,5.265359696838637,,10.904925124490397,,,11.394267984578835,,5.297972194380703,,,9.011647870223289,7.278982756515468,11.881619584333132,,,,11.037260313668911,12.415504997598328,,,,,,,,,,5.265359696838637,9.011647870223289,,,,12.759999115462449,,,,,,,,,,,14.852215206607578,,10.449414806032166,,10.904925124490397,,,12.759999115462449,,,,13.341104266407502,12.588073671297673,,,,,,14.852215206607578,,,,7.7787134167164185,,,,,,,13.341104266407502,,,9.492090462838537,13.094304566778266,11.394267984578835,,,,10.449414806032166,12.588073671297673,7.7787134167164185,,
38,,13.921795677048454,,11.037260313668911,,,,,,13.094304566778266,13.921795677048454,,5.297972194380703,12.415504997598328,5.265359696838637,,10.904925124490397,,,11.394267984578835,,5.297972194380703,,,9.011647870223289,7.278982756515468,11.881619584333132,,8.701809671168826,,11.037260313668911,12.415504997598328,,,,,,5.788001980784582,,,,5.265359696838637,9.011647870223289,,,,12.759999115462449,,,,,,,,,,,14.852215206607578,,10.449414806032166,,10.904925124490397,11.881619584333132,,12.759999115462449,,,,13.341104266407502,12.588073671297673,,,,5.788001980784582,,14.852215206607578,,,,7.7787134167164185,,,8.701809671168826,,,,13.341104266407502,,,9.492090462838537,13.094304566778266,11.394267984578835,,,,10.449414806032166,12.588073671297673,7.7787134167164185,,
39,,13.921795677048454,,11.037260313668911,,,,,,13.094304566778266,13.921795677048454,,,12.415504997598328,5.265359696838637,,10.904925124490397,,,11.394267984578835,,5.297972194380703,,,9.011647870223289,7.278982756515468,11.881619584333132,,8.701809671168826,,11.037260313668911,12.415504997598328,,,,,,5.788001980784582,,,,5.265359696838637,9.011647870223289,,,,12.759999115462449,,,,,,7.278982756515468,,,,,14.852215206607578,,10.449414806032166,,10.904925124490397,11.881619584333132,,12.759999115462449,,,,13.341104266407502,12.588073671297673,,,,5.788001980784582,,14.852215206607578,,,,7.7787134167164185,,,8.701809671168826,,,,13.341104266407502,,,9.492090462838537,13.094304566778266,11.394267984578835,,,,10.449414806032166,12.588073671297673,7.7787134167164185,9.492090462838537,
40,,,,11.037260313668911,,,,,,13.094304566778266,,,5.297972194380703,12.415504997598328,5.265359696838637,,10.904925124490397,,,11.394267984578835,,5.297972194380703,,,9.011647870223289,7.278982756515468,11.881619584333132,,8.701809671168826,,11.037260313668911,12.415504997598328,,,,,,5.788001980784582,,,,5.265359696838637,,,,,12.759999115462449,,,,,,,,,,,14.852215206607578,,10.449414806032166,,10.904925124490397,11.881619584333132,,12.759999115462449,,,,13.341104266407502,12.588073671297673,,,,5.788001980784582,,14.852215206607578,,,,7.7787134167164185,,,8.701809671168826,,,,13.341104266407502,,,9.492090462838537,13.094304566778266,11.394267984578835,,,,,12.588073671297673,7.7787134167164185,,
41,,13.921795677048454,,11.037260313668911,,,,,,13.094304566778266,13.921795677048454,,5.297972194380703,12.415504997598328,5.265359696838637,,10.904925124490397,,,11.394267984578835,,5.297972194380703,,,9.011647870223289,7.278982756515468,11.881619584333132,,8.701809671168826,,11.037260313668911,12.415504997598328,,,,,,5.788001980784582,,,,5.265359696838637,9.011647870223289,,,,12.759999115462449,,,,,,7.278982756515468,,,,,14.852215206607578,,10.449414806032166,,10.904925124490397,11.881619584333132,,12.759999115462449,,,,13.341104266407502,12.588073671297673,,,,5.788001980784582,,14.852215206607578,,,,7.7787134167164185,,,8.701809671168826,,,,13.341104266407502,,,9.492090462838537,13.094304566778266,11.394267984578835,,,,10.449414806032166,12.588073671297673,7.7787134167164185,9.492090462838537,
42,,,,11.037260313668911,,,,,,13.094304566778266,13.921795677048454,,5.297972194380703,12.415504997598328,5.265359696838637,,10.904925124490397,,,11.394267984578835,,5.297972194380703,,,9.011647870223289,7.278982756515468,11.881619584333132,,8.701809671168826,,11.037260313668911,12.415504997598328,,,,,,5.788001980784582,,,,5.265359696838637,9.011647870223289,,,,12.759999115462449,,,,,,7.278982756515468,,,,,14.852215206607578,,10.449414806032166,,10.904925124490397,11.881619584333132,,12.759999115462449,,,,13.341104266407502,12.588073671297673,,,,5.788001980784582,,14.852215206607578,,,,7.7787134167164185,,,8.701809671168826,,,,13.341104266407502,,,9.492090462838537,13.094304566778266,11.394267984578835,,,,10.449414806032166,12.588073671297673,7.7787134167164185,9.492090462838537,
43,,,,11.037260313668911,,,,,,13.094304566778266,,,5.297972194380703,12.415504997598328,5.265359696838637,,10.904925124490397,,,11.394267984578835,,5.297972194380703,,,9.011647870223289,7.278982756515468,11.881619584333132,13.218025940068083,8.701809671168826,11.981393949882268,,12.415504997598328,,,,,,5.788001980784582,,,,5.265359696838637,9.011647870223289,,,,12.759999115462449,,,,,,7.278982756515468,,,,,14.852215206607578,,10.449414806032166,,10.904925124490397,11.881619584333132,,12.759999115462449,,,,13.341104266407502,12.588073671297673,,,,5.788001980784582,,14.852215206607578,,,,7.7787134167164185,,,8.701809671168826,,,,13.341104266407502,,,,13.094304566778266,11.394267984578835,,,,10.449414806032166,,7.7787134167164185,9.492090462838537,
